DOI,Title,Authors,Abstract,Journal,Year
10.3390/plants12213751,Identification of Accurate Reference Genes for qRT-PCR Analysis of Gene Expression in Eremochloa ophiuroides under Multiple Stresses of Phosphorus Deficiency and/or Aluminum Toxicity,"Ying Chen, Qingqing He, Xiaohui Li, Yuan Zhang, Jianjian Li, Ling Zhang, Xiang Yao, Xueli Zhang, Chuanqiang Liu, Haoran Wang","Centipedegrass (Eremochloa ophiuroides (Munro.) Hack.) is a species originating in China and is an excellent warm-season turfgrass. As a native species in southern China, it is naturally distributed in the phosphorus-deficient and aluminum-toxic acid soil areas. It is important to research the molecular mechanism of centipedegrass responses to phosphorus-deficiency and/or aluminum-toxicity stress. Quantitative Real-Time PCR (qRT-PCR) is a common method for gene expression analysis, and the accuracy of qRT-PCR results depends heavily on the stability of internal reference genes. However, there are still no reported stable and effective reference genes for qRT-PCR analysis of target genes under the acid-soil-related stresses in different organs of centipedegrass. For scientific rigor, the gene used as a reference for any plant species and/or any stress conditions should be first systematically screened and evaluated. This study is the first to provide a group of reliable reference genes to quantify the expression levels of functional genes of Eremochloa ophiuroides under multiple stresses of P deficiency and/or aluminum toxicity. In this study, centipedegrass seedlings of the acid-soil-resistant strain ‘E041’ and acid-soil-sensitive strain ‘E089’ were used for qRT-PCR analysis. A total of 11 candidate reference genes (ACT, TUB, GAPDH, TIP41, CACS, HNR, EP, EF1α, EIF4α, PP2A and actin) were detected by qRT-PCR technology, and the stability of candidate genes was evaluated with the combination of four internal stability analysis software programs. The candidate reference genes exhibited differential stability of expression in roots, stems and leaves under phosphorus-deficiency and/or aluminum-toxicity stress. On the whole, the results showed that GAPDH, TIP41 and HNR were the most stable in the total of samples. In addition, for different tissues under various stresses, the selected reference genes were also different. CACS and PP2A were identified as two stable reference genes in roots through all three stress treatments (phosphate deficiency, aluminum toxicity, and the multiple stress treatment of aluminum toxicity and phosphate deficiency). Moreover, CACS was also stable as a reference gene in roots under each treatment (phosphate deficiency, aluminum toxicity, or multiple stresses of aluminum toxicity and phosphate deficiency). In stems under all three stress treatments, GAPDH and EIF4α were the most stable reference genes; for leaves, PP2A and TIP41 showed the two highest rankings in all three stress treatments. Finally, qRT-PCR analysis of the expression patterns of the target gene ALMT1 was performed to verify the selected reference genes. The application of the reference genes identified as internal controls for qRT-PCR analysis will enable accurate analysis of the target gene expression levels and expression patterns in centipedegrass under acid-soil-related stresses.",Plants,2023
10.3390/ijms242115878,Identification of Reference Genes for Precise Expression Analysis during Germination in Chenopodium quinoa Seeds under Salt Stress,"Estefanía Contreras, Lucía Martín-Fernández, Arafet Manaa, Jesús Vicente-Carbajosa, Raquel Iglesias-Fernández","Chenopodium quinoa Willd. (quinoa), a member of the Amaranthaceae family, is an allotetraploid annual plant, endemic to South America. The plant of C. quinoa presents significant ecological plasticity with exceptional adaptability to several environmental stresses, including salinity. The resilience of quinoa to several abiotic stresses, as well as its nutritional attributes, have led to significant shifts in quinoa cultivation worldwide over the past century. This work first defines germination sensu stricto in quinoa where the breakage of the pericarp and the testa is followed by endosperm rupture (ER). Transcriptomic changes in early seed germination stages lead to unstable expression levels in commonly used reference genes that are typically stable in vegetative tissues. Noteworthy, no suitable reference genes have been previously identified specifically for quinoa seed germination under salt stress conditions. This work aims to identify these genes as a prerequisite step for normalizing qPCR data. To this end, germinating seeds from UDEC2 and UDEC4 accessions, with different tolerance to salt, have been analyzed under conditions of absence (0 mM NaCl) and in the presence (250 mM NaCl) of sodium chloride. Based on the relevant literature, six candidate reference genes, Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), Monensin sensitivity1 (MON1), Polypyrimidine tract-binding protein (PTB), Actin-7 (ACT7), Ubiquitin-conjugating enzyme (UBC), and 18S ribosomal RNA (18S), were selected and assessed for stability using the RefFinder Tool encompassing the statistical algorithms geNorm, NormFinder, BestKeeper, and ΔCt in the evaluation. The data presented support the suitability of CqACT7 and CqUBC as reference genes for normalizing gene expression during seed germination under salinity stress. These recommended reference genes can be valuable tools for consistent qPCR studies on quinoa seeds.",International Journal of Molecular Sciences,2023
10.3390/ijms242115973,Reference Genes Screening and Gene Expression Patterns Analysis Involved in Gelsenicine Biosynthesis under Different Hormone Treatments in Gelsemium elegans,"Yao Zhang, Detian Mu, Liya Wang, Xujun Wang, Iain W. Wilson, Wenqiang Chen, Jinghan Wang, Zhaoying Liu, Deyou Qiu, Qi Tang","Reverse transcription quantitative polymerase chain reaction (RT-qPCR) is an accurate method for quantifying gene expression levels. Choosing appropriate reference genes to normalize the data is essential for reducing errors. Gelsemium elegans is a highly poisonous but important medicinal plant used for analgesic and anti-swelling purposes. Gelsenicine is one of the vital active ingredients, and its biosynthesis pathway remains to be determined. In this study, G. elegans leaf tissue with and without the application of one of four hormones (SA, MeJA, ETH, and ABA) known to affect gelsenicine synthesis, was analyzed using ten candidate reference genes. The gene stability was evaluated using GeNorm, NormFinder, BestKeeper, ∆CT, and RefFinder. The results showed that the optimal stable reference genes varied among the different treatments and that at least two reference genes were required for accurate quantification. The expression patterns of 15 genes related to the gelsenicine upstream biosynthesis pathway was determined by RT-qPCR using the relevant reference genes identified. Three genes 8-HGO, LAMT, and STR, were found to have a strong correlation with the amount of gelsenicine measured in the different samples. This research is the first study to examine the reference genes of G. elegans under different hormone treatments and will be useful for future molecular analyses of this medically important plant species.",International Journal of Molecular Sciences,2023
10.3168/jds.2022-23000,Identification of new reference genes for colony counting by reverse-transcription quantitative PCR in Bifidobacterium animalis,"Yaping Liu, Wanting Zhong, Shuo Feng, Ziteng Tang, Yingzhi Zhang, Lianzhong Ai, Zhiqiang Xiong",,Journal of Dairy Science,2023
10.1016/j.ttbdis.2023.102251,Stable internal reference genes for quantitative RT-PCR analyses in Rhipicephalus microplus during embryogenesis,"Tae Kwon Kim, Jéssica Waldman, Freddy Ibanez-Carrasco, Lucas Tirloni, Camila Waltero, Christiano Calixo, Gloria R. Braz, Albert Mulenga, Itabajara da Silva Vaz Junior, Carlos Logullo",,Ticks and Tick-borne Diseases,2023
10.3390/ijms242015087,"Screening and Validation of Appropriate Reference Genes for Real-Time Quantitative PCR under PEG, NaCl and ZnSO4 Treatments in Broussonetia papyrifera","Mengdi Chen, Zhengbo Wang, Ziyuan Hao, Hongying Li, Qi Feng, Xue Yang, Xiaojiao Han, Xiping Zhao","Real-time quantitative PCR (RT-qPCR) has a high sensitivity and strong specificity, and is widely used in the analysis of gene expression. Selecting appropriate internal reference genes is the key to accurately analyzing the expression changes of target genes by RT-qPCR. To find out the most suitable internal reference genes for studying the gene expression in Broussonetia papyrifera under abiotic stresses (including drought, salt, and ZnSO4 treatments), seven different tissues of B. papyrifera, as well as the roots, stems, and leaves of B. papyrifera under the abiotic stresses were used as test materials, and 15 candidate internal reference genes were screened based on the transcriptome data via RT-qPCR. Then, the expression stability of the candidate genes was comprehensively evaluated through the software geNorm (v3.5), NormFinder (v0.953), BestKeeper (v1.0), and RefFinder. The best internal reference genes and their combinations were screened out according to the analysis results. rRNA and Actin were the best reference genes under drought stress. Under salt stress, DOUB, HSP, NADH, and rRNA were the most stable reference genes. Under heavy metal stress, HSP and NADH were the most suitable reference genes. EIF3 and Actin were the most suitable internal reference genes in the different tissues of B. papyrifera. In addition, HSP, rRNA, NADH, and UBC were the most suitable internal reference genes for the abiotic stresses and the different tissues of B. papyrifera. The expression patterns of DREB and POD were analyzed by using the selected stable and unstable reference genes. This further verified the reliability of the screened internal reference genes. This study lays the foundation for the functional analysis and regulatory mechanism research of genes in B. papyrifera.",International Journal of Molecular Sciences,2023
10.3390/ijms242015198,Selection and Validation of Reference Genes for Reverse-Transcription Quantitative PCR Analysis in Sclerotium rolfsii,"Chaofan Jiang, Lin Zhou, Qingchen Zhao, Mengke Wang, Sirui Shen, Te Zhao, Kaidi Cui, Leiming He","Reference genes are important for the accuracy of gene expression profiles using reverse-transcription quantitative PCR (RT-qPCR). However, there are no available reference genes reported for Sclerotium rolfsii; it actually has a pretty diverse and wide host range. In this study, seven candidate reference genes (UBC, β-TUB, 28S, 18S, PGK, EF1α and GAPDH) were validated for their expression stability in S. rolfsii under conditions of different developmental stages, populations, fungicide treatments, photoperiods and pHs. Four algorithm programs (geNorm, Normfinder, Bestkeeper and ΔCt) were used to evaluate the gene expression stability, and RefFinder was used to integrate the ranking results of four programs. Two reference genes were recommended by RefFinder for RT-qPCR normalization in S. rolfsii. The suitable reference genes were GAPDH and UBC across developmental stages, PGK and UBC across populations, GAPDH and PGK across fungicide treatments, EF1α and PGK across photoperiods, β-TUB and EF1α across pHs and PGK and GAPDH across all samples. Four target genes (atrB, PacC, WC1 and CAT) were selected for the validation of the suitability of selected reference genes. However, using one or two reference genes in combination to normalize the expression of target genes showed no significant difference in S. rolfsii. In short, this study provided reliable reference genes for studying the expression and function of genes in S. rolfsii.",International Journal of Molecular Sciences,2023
10.3390/genes14101874,Selection of Suitable Reference Genes for RT-qPCR Gene Expression Analysis in Centipedegrass under Different Abiotic Stress,"Xiaoyun Wang, Xin Shu, Xiaoli Su, Yanli Xiong, Yi Xiong, Minli Chen, Qi Tong, Xiao Ma, Jianbo Zhang, Junming Zhao","As a C4 warm-season turfgrass, centipedegrass (Eremochloa ophiuroides (Munro) Hack.) is known for its exceptional resilience to intensive maintenance practices. In this research, the most stably expressed reference genes in the leaves of centipedegrass under different stress treatments, including salt, cold, drought, aluminum (Al), and herbicide, were screened by the quantitative real-time PCR (RT-qPCR) technique. The stability of 13 candidate reference genes was evaluated by software GeNorm V3.4, NormFinder V20, BestKeeper V1.0, and ReFinder V1.0. The results of this experiment demonstrated that the expression of the UBC (ubiquitin-conjugating enzyme) remained the most stable under cold and Al stress conditions. On the other hand, the MD (malate dehydrogenase) gene exhibited the best performance in leaf tissues subjected to salt and drought stresses. Under herbicide stress, the expression level of the RIP (60S ribosomal protein L2) gene ranked the highest. The expression levels of abiotic stress-associated genes such as PIP1, PAL, COR413, ALMT9, and BAR were assessed to validate the reliability of the selected reference genes. This study provides valuable information and reference points for gene expression under abiotic stress conditions in centipedegrass.",Genes,2023
10.3390/ijms242015140,"LRP10, PGK1 and RPLP0: Best Reference Genes in Periprostatic Adipose Tissue under Obesity and Prostate Cancer Conditions","Jesús M. Pérez-Gómez, Francisco Porcel-Pastrana, Marina De La Luz-Borrero, Antonio J. Montero-Hidalgo, Enrique Gómez-Gómez, Aura D. Herrera-Martínez, Rocío Guzmán-Ruiz, María M. Malagón, Manuel D. Gahete, Raúl M. Luque","Obesity (OB) is a metabolic disorder characterized by adipose tissue dysfunction that has emerged as a health problem of epidemic proportions in recent decades. OB is associated with multiple comorbidities, including some types of cancers. Specifically, prostate cancer (PCa) has been postulated as one of the tumors that could have a causal relationship with OB. Particularly, a specialized adipose tissue (AT) depot known as periprostatic adipose tissue (PPAT) has gained increasing attention over the last few years as it could be a key player in the pathophysiological interaction between PCa and OB. However, to date, no studies have defined the most appropriate internal reference genes (IRGs) to be used in gene expression studies in this AT depot. In this work, two independent cohorts of PPAT samples (n = 20/n = 48) were used to assess the validity of a battery of 15 literature-selected IRGs using two widely used techniques (reverse transcription quantitative PCR [RT-qPCR] and microfluidic-based qPCR array). For this purpose, ΔCt method, GeNorm (v3.5), BestKeeper (v1.0), NormFinder (v.20.0), and RefFinder software were employed to assess the overall trends of our analyses. LRP10, PGK1, and RPLP0 were identified as the best IRGs to be used for gene expression studies in human PPATs, specifically when considering PCa and OB conditions.",International Journal of Molecular Sciences,2023
10.3390/ijms242015159,Insensitive Effects of Inflammatory Cytokines on the Reference Genes of Synovial Fluid Resident-Mesenchymal Stem Cells Derived from Rheumatoid Arthritis Patients,"Eun-Yeong Bok, Saet-Byul Kim, Gitika Thakur, Yong-Ho Choe, Seong-Ju Oh, Sun-Chul Hwang, Sun-A. Ock, Gyu-Jin Rho, Sang-Il Lee, Won-Jae Lee, Sung-Lim Lee","Mesenchymal stem cells derived from rheumatoid arthritis patients (RA-MSCs) provide an understanding of a variety of cellular and immunological responses within the inflammatory milieu. Sustained exposure of MSCs to inflammatory cytokines is likely to exert an influence on genetic variations, including reference genes (RGs). The sensitive effect of cytokines on the reference genes of RA-SF-MSCs may be a variation factor affecting patient-derived MSCs as well as the accuracy and reliability of data. Here, we comparatively evaluated the stability levels of nine RG candidates, namely GAPDH, ACTB, B2M, EEF1A1, TBP, RPLP0, PPIA, YWHAZ, and HPRT1, to find the most stable ones. Alteration of the RG expression was evaluated in MSCs derived from the SF of healthy donors (H-SF-MSCs) and in RA-SF-MSCs using the geNorm and NormFinder software programs. The results showed that TBP, PPIA, and YWHAZ were the most stable RGs for the normalization of H-SF-MSCs and RA-SF-MSCs using RT-qPCR, whereas ACTB, the most commonly used RG, was less stable and performed poorly. Additionally, the sensitivity of RG expression upon exposure to proinflammatory cytokines (TNF-α and IL-1β) was evaluated. RG stability was sensitive in the H-SF-MSCs exposed to TNF-α and IL-1β but insensitive in the RA-SF-MSCs. Furthermore, the normalization of IDO expression using ACTB falsely diminished the magnitude of biological significance, which was further confirmed with a functional analysis and an IDO activity assay. In conclusion, the results suggest that TBP, PPIA, and YWHAZ can be used in SF-MSCs, regardless of their exposure to inflammatory cytokines.",International Journal of Molecular Sciences,2023
10.3390/biom13101523,Identifying Suitable Reference Gene Candidates for Quantification of DNA Damage-Induced Cellular Responses in Human U2OS Cell Culture System,"Nikolett Barta, Nóra Ördög, Vasiliki Pantazi, Ivett Berzsenyi, Barbara N. Borsos, Hajnalka Majoros, Zoltán G. Páhi, Zsuzsanna Ujfaludi, Tibor Pankotai","DNA repair pathways trigger robust downstream responses, making it challenging to select suitable reference genes for comparative studies. In this study, our goal was to identify the most suitable housekeeping genes to perform comparable molecular analyses for DNA damage-related studies. Choosing the most applicable reference genes is important in any kind of target gene expression-related quantitative study, since using the housekeeping genes improperly may result in false data interpretation and inaccurate conclusions. We evaluated the expressional changes of eight well-known housekeeping genes (i.e., 18S rRNA, B2M, eEF1α1, GAPDH, GUSB, HPRT1, PPIA, and TBP) following treatment with the DNA-damaging agents that are most frequently used: ultraviolet B (UVB) non-ionizing irradiation, neocarzinostatin (NCS), and actinomycin D (ActD). To reveal the significant changes in the expression of each gene and to determine which appear to be the most acceptable ones for normalization of real-time quantitative polymerase chain reaction (RT-qPCR) data, comparative and statistical algorithms (such as absolute quantification, Wilcoxon Rank Sum Test, and independent samples T-test) were conducted. Our findings clearly demonstrate that the genes commonly employed as reference candidates exhibit substantial expression variability, and therefore, careful consideration must be taken when designing the experimental setup for an accurate and reproducible normalization of RT-qPCR data. We used the U2OS cell line since it is generally accepted and used in the field of DNA repair to study DNA damage-induced cellular responses. Based on our current data in U2OS cells, we suggest using 18S rRNA, eEF1α1, GAPDH, GUSB, and HPRT1 genes for UVB-induced DNA damage-related studies. B2M, HPRT1, and TBP genes are recommended for NCS treatment, while 18S rRNA, B2M, and PPIA genes can be used as suitable internal controls in RT-qPCR experiments for ActD treatment. In summary, this is the first systematic study using a U2OS cell culture system that offers convincing evidence for housekeeping gene selection following treatment with various DNA-damaging agents. Here, we unravel an indispensable issue for performing and assessing trustworthy DNA damage-related differential gene expressional analyses, and we create a “zero set” of potential reference gene candidates.",Biomolecules,2023
10.1134/s102144372360068x,Reliable Reference Genes for Accurate Gene Expression Profiling across Different Tissues and Genotypes of Rice Seedlings (Oryza sativa L.) under Salt Stress,"D. Q. Nguyen, N. L. Nguyen, V. T. Nguyen, T. H. G. Nguyen, T. H. Nguyen, T. K. L. Nguyen, H. H. Nguyen",,Russian Journal of Plant Physiology,2023
10.3390/genes14091739,Screening of Reference Genes under Biotic Stress and Hormone Treatment of Mung Bean (Vigna radiata) by Quantitative Real-Time PCR,"Yanyan Zhou, Huan Liu, Ting Wu, Yu Zheng, Ruimin Wang, Dong Xue, Qiang Yan, Xingxing Yuan, Xin Chen","Mung bean (Vigna radiata) production has been greatly threatened by numerous diseases. Infection with these pathogens causes extensive changes in gene expression and the activation of hormone signal transduction. Quantitative real-time PCR (qRT-PCR) is the most common technique used for gene expression validation. Screening proper reference genes for mung bean under pathogen infection and hormone treatment is a prerequisite for ensuring the accuracy of qRT-PCR data in mung bean disease-resistance research. In this study, six candidate reference genes (Cons4, ACT, TUA, TUB, GAPDH, and EF1α) were selected to evaluate the expression stability under four soil-borne disease pathogens (Pythium myriotylum, Pythium aphanidermatum, Fusarium oxysporum, and Rhizoctonia solani) and five hormone treatments (SA, MeJA, ETH, ABA, and GA3). In the samples from different treatments, the Ct value distribution of the six candidate reference genes was different. Under the condition of hormone treatment, the Ct value ranged from a minimum of 17.87 for EF1α to a maximum of 29.63 for GAPDH. Under the condition of pathogen infection, the Ct value ranged from a minimum of 19.43 for EF1α to a maximum of 31.82 for GAPDH. After primer specificity analysis, it was found that GAPDH was not specific, so the five reference genes Cons4, ACT, TUA, TUB, and EF1α were used in subsequent experiments. The software products GeNorm, NormFinder, BestKeeper and RefFinder were used for qRT-PCR data analysis. In general, the best candidates reference genes were: TUA for SA, ABA, GA3, and Pythium myriotylum treatment; TUB for ETH treatment; ACT for MeJA and Fusarium oxysporum treatment; and EF1α for Pythium aphanidermatum and Rhizoctonia solani treatment. The most stably expressed genes in all samples were TUA, while Cons4 was the least stable reference gene. Finally, the reliability of the reference gene was further validated by analysis of the expression profiles of four mung bean genes (Vradi0146s00260, Vradi0158s00480, Vradi07g23860, and Vradi11g03350) selected from transcriptome data. Our results provide more accurate information for the normalization of qRT-PCR data in mung bean response to pathogen interaction.",Genes,2023
10.3390/genes14091790,Identification and Validation of Reference Genes for RT-qPCR Analysis in Reed Canary Grass during Abiotic Stress,"Xuejie Jia, Yi Xiong, Yanli Xiong, Daxu Li, Qinqin Yu, Xiong Lei, Minghong You, Shiqie Bai, Jianbo Zhang, Xiao Ma","Reed canary grass (Phalaris arundinacea L.) is known for its tolerance to drought, heavy metals, and waterlogging, making it a popular choice for forage production and wetland restoration in the Qinghai-Tibet Plateau (QTP). To accurately assess gene expression in reed canary grass under different abiotic stresses, suitable reference genes need to be identified and validated. Thirteen candidate reference gene sequences were selected and screened using RT-qPCR to detect their expression levels in reed canary grass leaves under drought, salt, cadmium, and waterlogging stresses. Four algorithms were used to assess the stability of the expression levels of the candidate reference genes. The most stably expressed genes were UBC and H3 under drought Cd, ETF and CYT under salt stress, and ETF and TUB under waterlogging stress. GAPDH was found to be less stable under abiotic stresses. PIP-1, PAL, NAC 90, and WRKY 72A were selected as response genes for quantitative expression assessment under drought, salt, Cd, and waterlogging stresses to confirm the accuracy of the selected stable reference genes. These results provide a theoretical reference for assessing gene expression in reed canary grass under abiotic stresses.",Genes,2023
10.1007/s00343-022-2203-1,RT-qPCR normalization of reference genes in different life-history stages of Gracilaria vermiculophylla (Rhodophyta),"Yingyue Zhang, Jinxin Yang, Ze Yang, Cong Qi, Di Xu",,Journal of Oceanology and Limnology,2023
10.12403/j.1001-1498.20220500,,,,,
10.1371/journal.pone.0286871,Validation of reference gene stability for miRNA quantification by reverse transcription quantitative PCR in the peripheral blood of patients with COVID-19 critical illness,"Amanda Formosa, Erica Acton, Amy Lee, Paul Turgeon, Shehla Izhar, Pamela Plant, Jim N. Tsoporis, Sabri Soussi, Uriel Trahtemberg, Andrew Baker, Claudia C. dos Santos","The COVID-19 pandemic has created an urgency to study the host gene response that leads to variable clinical presentations of the disease, particularly the critical illness response. miRNAs have been implicated in the mechanism of host immune dysregulation and thus hold potential as biomarkers and/or therapeutic agents with clinical application. Hence, further analyses of their altered expression in COVID-19 is warranted. An important basis for this is identifying appropriate reference genes for high quality expression analysis studies. In the current report, NanoString technology was used to study the expression of 798 miRNAs in the peripheral blood of 24 critically ill patients, 12 had COVID-19 and 12 were COVID-19 negative. A list of potentially stable candidate reference genes was generated that included ten miRNAs. The top six were analyzed using reverse transcription quantitative polymerase chain reaction (RT-qPCR) in a total of 41 patients so as to apply standard computational algorithms for validating reference genes, namely geNorm, NormFinder, BestKeeper and RefFinder. There was general agreement among all four algorithms in the ranking of four stable miRNAs: miR-186-5p, miR-148b-3p, miR-194-5p and miR-448. A detailed analysis of their output rankings led to the conclusion that miR-186-5p and miR-148b-3p are appropriate reference genes for miRNA expression studies using PaxGene tubes in the peripheral blood of patients critically ill with COVID-19 disease.",PLOS ONE,2023
10.3390/genes14081513,Selection and Evaluation of Reference Genes for RT-qPCR Analysis in Amorphophallus Konjac Based on Transcriptome Data,"Yanli Liu, Chengcheng Zhang, Nunung Harijati, Ying Diao, Erxi Liu, Zhongli Hu","Combined with the Konjac transcriptome database of our laboratory and internal reference genes commonly used in plants, the eight candidate internal reference genes were screened and detected. They are the 25S ribosomal RNA gene (25S rRNA), 18S ribosomal RNA gene (18S rRNA), actin gene (ACT), glyceraldehyde-3-phosphate dehydrogenase gene (GAPDH), ubiquitin gene (UBQ), β-tubulin gene (β-TUB), eukaryotic elongation factor 1-αgene(eEF-1α), and eukaryotic translation initiation factor 4α-1 gene (eIF-4α). The results of GeNorm, Normfinder, and BestKeeper were analyzed comprehensively. The data showed that the expression levels of 25S rRNA, 18S rRNA, and ACT at the reproductive periods, eEF-1α and eIF-4α at the nutritional periods, and eEF-1α, UBQ, and ACT at different leaf developmental periods were stable. These identified and stable internal reference genes will provide the basis for the subsequent molecular biology-related studies of Konjac.",Genes,2023
10.1016/j.aqrep.2023.101660,Selection and evaluation of stable reference genes for quantitative real-time PCR in the head kidney leukocyte of Oreochromis niloticus,"Baijian Jiang, Qi Li, Zhiqiang Zhang, Yongxiong Huang, Yiqin Wu, Xing Li, Meiling Huang, Yu Huang, Jichang Jian",,Aquaculture Reports,2023
10.1007/s11802-023-5440-9,Evaluation of Reference Genes for Quantitative Real-Time PCR Analysis in Manila Clam Ruditapes philippinarum Under Hypoxic Stress,"Hao Jing, Liqing Zhou, Miao Gong, Kang Tu, Zhihong Liu, Biao Wu, Xiujun Sun",,Journal of Ocean University of China,2023
10.1007/s11240-023-02564-w,Evaluation of reference genes for quantitative analysis of gene expression in Lippia alba under abiotic stress,"Laís Stehling de Queiroz Nascimento, Juliana Mainenti Leal Lopes, Elyabe Monteiro de Matos, Vinicius Carius Souza, Diego Silva Batista, Marcelo de Oliveira Santos, Wagner Campos Otoni, Lyderson Facio Viccini",,"Plant Cell, Tissue and Organ Culture (PCTOC)",2023
10.1111/jne.13313,Reference gene recommendations and <scp>PACAP</scp> receptor expression in murine sympathetic ganglia of the autonomic nervous system that innervate adipose tissues after chronic cold exposure,"Parleen K. Pandher, Yamna Rahim, Katherine P. Timms, Ekaterina Filatov, Landon I. Short, Sarah L. Gray","AbstractPituitary adenylate cyclase‐activating polypeptide (PACAP) is an important regulator of the stress response in mammals, influencing both the hypothalamic–pituitary–adrenal (HPA) axis and the sympathetic nervous system (SNS). PACAP has been reported to influence energy homeostasis, including adaptive thermogenesis, an energy burning process in adipose tissue regulated by the SNS in response to cold stress and overfeeding. While research suggests PACAP acts centrally at the level of the hypothalamus, knowledge of PACAP's role within the sympathetic nerves innervating adipose tissues in response to metabolic stressors is limited. This work shows, for the first time, gene expression of PACAP receptors in stellate ganglia and highlights some differential expression with housing temperature. Additionally, we present our dissection protocol, analysis of tyrosine hydroxylase gene expression as a molecular biomarker for catecholamine producing tissue and recommend three stable reference genes for the normalization of quantitative real time‐polymerase chain reaction (qRT‐PCR) data when working with this tissue. This study adds to information about neuropeptide receptor expression in peripheral ganglia of the sympathetic nervous system innervating adipose tissue and provides insight into PACAP's role in the regulation of energy metabolism.",Journal of Neuroendocrinology,2023
10.1016/j.mimet.2023.106777,Selection and validation of reference genes for RT-qPCR gene expression studies in Candida viswanathii cultivated under different grown conditions,"Matheus Martins Daúde, Ronan Cristhian Teixeira, Carlos Henrique Cardon, Gessi Carvalho de Araujo Santos, Alex Fernando de Almeida, Antonio Chalfun-Junior, Horllys Gomes Barreto",,Journal of Microbiological Methods,2023
10.14719/pst.2002,Selection of stable housekeeping genes for gene expression studies in different varieties of black pepper (Piper nigrum L.),"C Nasreena, Swapna Alex, K. B Soni, Dongare Manjushri Dinkar, A.G Kiran, R.V Manju","Real Time quantitative PCR (RT-qPCR) is a widely used technique to study the transcript level modulation of genes during developmental stages of crop plants as well as in stress responses. Suitable reference genes have not been validated in many plants including black pepper. In this study, expression stability of six commonly used housekeeping genes viz., actin, ?-tubulin, elongation factor, initiation factor, ubiquitin and glyceraldehyde 3- phosphate dehydrogenase were evaluated by RT-qPCR during the growth of the black pepper inflorescence of varieties viz., Panniyur 1, Karimunda and Thekken. The results were analyzed using geNorm and Normfinder statistical algorithms. Stable reference gene is critical for the accurate normalization of target gene data in RT-qPCR. In this study actin, elongation factor and initiation factor were identified as the most stable housekeeping gene in different black pepper varieties viz., Thekken, Panniyur 1 and Karimunda respectively. Actin in combination with GAPDH and elongation factor were obtained as optimal reference genes for Thekken. It is the first report on identification of stable housekeeping gene in different varieties of black pepper and can aid in expression studies in black pepper for yield improvement. The study will aid in normalization of gene expression studies in different varieties of black pepper.",Plant Science Today,2023
10.3390/metabo13070806,"Real-Time Quantitative PCR: Primer Design, Reference Gene Selection, Calculations and Statistics","Zhiwei Chen, Nigel G. Halford, Chenghong Liu","Real-time quantitative PCR is a technique that can measure the content of the target nucleic acid sequence of interest in a given sample. It is mainly divided into absolute and relative quantitative methods. The relative quantification is mainly used in gene expressions for functional genomic and transcriptome studies. However, to use this technology accurately, there are some key points to master. First, specific primers need to be designed to ensure amplification of the gene of interest (GOI). Second, the appropriate reference gene or reference gene combination has to be selected. Finally, scientific gene expression level calculations and statistics are required to obtain accurate results. Therefore, this work proposes a workflow for relative quantitative PCR and introduces the relevant points so that beginners can better understand and use this technology.",Metabolites,2023
10.3390/genes14071321,Selection of Reliable Reference Genes for Gene Expression Normalization in Sagittaria trifolia,"Jing Tang, Enjiao Li, Jiexia Liu, Zhiping Zhang, Bing Hua, Jiezeng Jiang, Minmin Miao","Real-time quantitative PCR (RT-qPCR) is a method with high sensitivity and convenience that has been extensively used to analyze the expression level of target genes. A reference gene with a highly stable expression is required to ensure the accuracy of experimental results. However, the report on appropriate reference genes in arrowheads (Sagittaria trifolia) is still limited. In this study, eight candidate reference genes (ACT5, UBQ, GAPDH, CYP, NAC, IDH, SLEEPER and PLA) were selected. The candidate genes were employed in a RT-qPCR assay in different tissues at different developmental stages of the same tissue (including corm, leaf and leafstalk) in arrowheads. Five statistical algorithms, GeNorm, NormFinder, BestKeeper, delta cycle threshold (ΔCt) and RefFinder, were used to evaluate the stability of these genes’ expressions in order to identify the appropriate reference genes. The results showed that UBQ was the optimum reference gene in leaf, leafstalk, root, stolon and corm, IDH exhibited the most stable expression during the expansion of corm, UBQ and PLA were the most stable reference genes in developmental stages of leaf and leafstalk, respectively. Finally, the reliability of reference genes was further confirmed by the normalization of PDS and EXP1 genes under different arrowhead tissues and developmental stages of corm, respectively. This study constitutes important guidance for the selection of reliable reference genes for analyzing the tissue- and developmental-stage-specific expression of genes in arrowheads.",Genes,2023
